"Nation_ID","Nation","State_ID","State","Municipality_ID","Municipality","GINI","Population"
"mex","México",14,"Jalisco",14081,"Santa María de los Ángeles",0.4261530041694641,3515
"mex","México",14,"Jalisco",14082,"Sayula",0.31409499049186707,37186
"mex","México",14,"Jalisco",14083,"Tala",0.31432199478149414,87690
"mex","México",14,"Jalisco",14084,"Talpa de Allende",0.34705600142478943,14997
"mex","México",14,"Jalisco",14085,"Tamazula de Gordiano",0.3245219886302948,38955
"mex","México",14,"Jalisco",14086,"Tapalpa",0.3362469971179962,21245
"mex","México",14,"Jalisco",14087,"Tecalitlán",0.3253459930419922,16705
"mex","México",14,"Jalisco",14088,"Tecolotlán",0.3409140110015869,16603
"mex","México",14,"Jalisco",14089,"Techaluta de Montenegro",0.3558090031147003,4072
"mex","México",14,"Jalisco",14090,"Tenamaxtlán",0.39419400691986084,7302
"mex","México",14,"Jalisco",14091,"Teocaltiche",0.3356989920139313,39839
"mex","México",14,"Jalisco",14092,"Teocuitatlán de Corona",0.35556599497795105,11039
"mex","México",14,"Jalisco",14093,"Tepatitlán de Morelos",0.332753986120224,150190
"mex","México",14,"Jalisco",14094,"Tequila",0.3547860085964203,44353
"mex","México",14,"Jalisco",14095,"Teuchitlán",0.34959301352500916,9647
"mex","México",14,"Jalisco",14096,"Tizapán el Alto",0.3303140103816986,22758
"mex","México",14,"Jalisco",14097,"Tlajomulco de Zúñiga",0.3203890025615692,727750
"mex","México",14,"Jalisco",14098,"San Pedro Tlaquepaque",0.33374398946762085,687127
"mex","México",14,"Jalisco",14099,"Tolimán",0.3498690128326416,11219
"mex","México",14,"Jalisco",14100,"Tomatlán",0.341279000043869,36316
"mex","México",14,"Jalisco",14101,"Tonalá",0.31425100564956665,569913
"mex","México",14,"Jalisco",14102,"Tonaya",0.3592720031738281,5961
"mex","México",14,"Jalisco",14103,"Tonila",0.336217999458313,7565
"mex","México",14,"Jalisco",14104,"Totatiche",0.38730698823928833,4180
"mex","México",14,"Jalisco",14105,"Tototlán",0.33565300703048706,23573
"mex","México",14,"Jalisco",14106,"Tuxcacuesco",0.3681100010871887,5482
"mex","México",14,"Jalisco",14107,"Tuxcueca",0.3871389925479889,6702
"mex","México",14,"Jalisco",14108,"Tuxpan",0.33360299468040466,37518
"mex","México",14,"Jalisco",14109,"Unión de San Antonio",0.32907599210739136,19069
